## created with command:
## bgzip -d -c gnomad.v2.1.1.lof_metrics.by_gene.txt.bgz | cut -f 1,2,21,24,29,30 > gnomad.v2.1.1.gene-constraints.tsv
## pLI (probability of being loss-of-function intolerant)
## pLI scores closer to one indicate more intolerance to protein-truncating variation. For a set of transcripts
## intolerant of protein-truncating variation, we suggest pLI ≥ 0.9.
##
## Observed / expected (oe)
## The constraint score shown in gnomAD is the ratio of the observed / expected (oe) number of loss-of-function variants
## in that gene. The expected counts are based on a mutational model that takes sequence context, coverage and methylation
## into account.
## Interpretation
## Observed/expected (oe) is a continuous measure of how tolerant a gene is to a certain class of variation
## (e.g. loss-of-function). When a gene has a low oe value, it is under stronger selection for that class of variation
## than a gene with a higher value. Because counts depend on gene size and sample size, the precision of the oe values
## varies a lot from one gene to the next. Therefore in addition to the oe value, we also display the 90% confidence
## interval (CI) for each of the oe values. When evaluating how constrained a gene is, it is essential to take the 90%
## CI into consideration.
## Although oe is a continuous value, we understand that it can be useful to use a threshold for certain applications. In
## particular, for the interpretation of Mendelian diseases cases, we suggest using the upper bound of the oe CI < 0.35
## as a threshold if needed. Again, ideally oe should be used as a continuous value rather than a cutoff and evaluating
## the oe 90% CI is a must.
#gene	transcript	pLI	oe_lof	oe_lof_lower	oe_lof_upper
SYT7	ENST00000540677	9.6342e-01	1.0463e-01	4.2000e-02	3.2900e-01
TMEM164	ENST00000372073	9.4373e-01	0.0000e+00	0.0000e+00	3.2900e-01
FOXG1	ENST00000382535	9.4355e-01	0.0000e+00	0.0000e+00	3.2900e-01
GTF2IRD1	ENST00000455841	9.0039e-01	1.9406e-01	1.1900e-01	3.2900e-01
CACUL1	ENST00000369151	9.6315e-01	1.0474e-01	4.2000e-02	3.3000e-01
RAB6B	ENST00000285208	9.5879e-01	6.9562e-02	2.4000e-02	3.3000e-01
RARA	ENST00000254066	9.6305e-01	1.0478e-01	4.2000e-02	3.3000e-01
BCL6	ENST00000406870	9.6038e-01	1.4434e-01	7.0000e-02	3.3000e-01
IPMK	ENST00000373935	9.6258e-01	1.0497e-01	4.2000e-02	3.3000e-01
HNF1A	ENST00000257555	9.6115e-01	1.4406e-01	7.0000e-02	3.3000e-01
UNC5D	ENST00000404895	9.2929e-01	1.8301e-01	1.0600e-01	3.3000e-01
PPM1G	ENST00000344034	9.6040e-01	1.4433e-01	7.0000e-02	3.3000e-01
POFUT1	ENST00000375749	9.6303e-01	1.0479e-01	4.2000e-02	3.3000e-01
ZNF296	ENST00000303809	9.5906e-01	6.9472e-02	2.4000e-02	3.3000e-01
PRCC	ENST00000271526	9.6281e-01	1.0488e-01	4.2000e-02	3.3000e-01
VMP1	ENST00000262291	9.6271e-01	1.2782e-01	5.7000e-02	3.3000e-01
USP25	ENST00000285679	7.5220e-01	2.1132e-01	1.3900e-01	3.3000e-01
EIF2B4	ENST00000451130	9.6117e-01	1.4405e-01	7.0000e-02	3.3000e-01
SYNJ1	ENST00000433931	4.2709e-01	2.2474e-01	1.5600e-01	3.3000e-01
HIP1	ENST00000336926	7.6173e-01	2.1088e-01	1.3800e-01	3.3000e-01
ADAMTS10	ENST00000270328	8.4288e-01	2.0355e-01	1.2900e-01	3.3000e-01
ANO1	ENST00000355303	8.7426e-01	1.9914e-01	1.2400e-01	3.3000e-01
CBFB	ENST00000412916	9.5890e-01	6.9526e-02	2.4000e-02	3.3000e-01
ARAF	ENST00000377045	9.6322e-01	1.2761e-01	5.7000e-02	3.3000e-01
ARF5	ENST00000000233	9.4298e-01	0.0000e+00	0.0000e+00	3.3000e-01
DSG1	ENST00000257192	9.2688e-01	1.8342e-01	1.0700e-01	3.3100e-01
HHIP	ENST00000296575	9.5436e-01	1.5760e-01	8.1000e-02	3.3100e-01
USP33	ENST00000370793	8.6249e-01	2.0014e-01	1.2500e-01	3.3100e-01
ANP32B	ENST00000339399	9.5827e-01	6.9731e-02	2.4000e-02	3.3100e-01
DEPDC5	ENST00000382112	1.1650e-01	2.3539e-01	1.6900e-01	3.3100e-01
HYOU1	ENST00000404233	8.6105e-01	2.0025e-01	1.2500e-01	3.3100e-01
CLIP1	ENST00000540338	6.8088e-01	2.1516e-01	1.4300e-01	3.3100e-01
MYH14	ENST00000601313	4.2236e-02	2.4052e-01	1.7600e-01	3.3200e-01
RGS7BP	ENST00000334025	9.5778e-01	6.9890e-02	2.4000e-02	3.3200e-01
FAM208B	ENST00000328090	3.0957e-01	2.2833e-01	1.6000e-01	3.3200e-01
EYA1	ENST00000340726	9.4588e-01	1.6827e-01	9.1000e-02	3.3200e-01
ZCCHC24	ENST00000372336	9.4200e-01	0.0000e+00	0.0000e+00	3.3200e-01
VPS13D	ENST00000358136	1.0749e-06	2.6529e-01	2.1300e-01	3.3200e-01
SPECC1L	ENST00000314328	8.5887e-01	2.0043e-01	1.2500e-01	3.3200e-01
KPNA3	ENST00000261667	9.5357e-01	1.5784e-01	8.1000e-02	3.3200e-01
ZMYM2	ENST00000382869	6.6648e-01	2.1570e-01	1.4300e-01	3.3200e-01
DERL2	ENST00000158771	9.5740e-01	7.0013e-02	2.4000e-02	3.3200e-01
SNED1	ENST00000310397	6.6246e-01	2.1585e-01	1.4300e-01	3.3200e-01
NEUROD2	ENST00000302584	9.4202e-01	0.0000e+00	0.0000e+00	3.3200e-01
OTUD7A	ENST00000307050	9.5249e-01	1.5816e-01	8.2000e-02	3.3300e-01
PRDM1	ENST00000369096	9.5650e-01	1.4571e-01	7.1000e-02	3.3300e-01
SKP2	ENST00000274255	9.6042e-01	1.2872e-01	5.8000e-02	3.3300e-01
ATXN2	ENST00000377617	8.5289e-01	2.0090e-01	1.2500e-01	3.3300e-01
ELMO1	ENST00000310758	8.9997e-01	1.9105e-01	1.1400e-01	3.3300e-01
CCDC132	ENST00000305866	8.1390e-01	2.0545e-01	1.3100e-01	3.3300e-01
RCC2	ENST00000375436	9.5567e-01	1.4599e-01	7.1000e-02	3.3400e-01
BMP4	ENST00000245451	9.5640e-01	7.0331e-02	2.4000e-02	3.3400e-01
GSK3B	ENST00000316626	9.5571e-01	1.4598e-01	7.1000e-02	3.3400e-01
MAGI1	ENST00000402939	5.5970e-01	2.1996e-01	1.4800e-01	3.3400e-01
SMURF2	ENST00000262435	8.7235e-01	1.9692e-01	1.2000e-01	3.3400e-01
CTLA4	ENST00000302823	9.4085e-01	0.0000e+00	0.0000e+00	3.3400e-01
SNX18	ENST00000326277	9.5637e-01	7.0342e-02	2.4000e-02	3.3400e-01
SEPT11	ENST00000264893	9.5924e-01	1.2918e-01	5.8000e-02	3.3400e-01
MSH2	ENST00000233146	8.9539e-01	1.9159e-01	1.1400e-01	3.3400e-01
HK1	ENST00000404387	9.1459e-01	1.8533e-01	1.0800e-01	3.3400e-01
TOX4	ENST00000405508	9.5637e-01	1.4576e-01	7.1000e-02	3.3400e-01
CSRNP2	ENST00000228515	9.6015e-01	1.0595e-01	4.2000e-02	3.3400e-01
SP9	ENST00000394967	9.4003e-01	0.0000e+00	0.0000e+00	3.3500e-01
LTBP3	ENST00000301873	6.8647e-01	2.1414e-01	1.4000e-01	3.3500e-01
ALDH1A1	ENST00000297785	9.5448e-01	1.4639e-01	7.1000e-02	3.3500e-01
RASAL2	ENST00000367649	7.9641e-01	2.0651e-01	1.3100e-01	3.3500e-01
AGAP3	ENST00000397238	9.1091e-01	1.8587e-01	1.0800e-01	3.3500e-01
CCDC64	ENST00000397558	9.4786e-01	1.5948e-01	8.2000e-02	3.3500e-01
ILDR2	ENST00000271417	9.5385e-01	1.4660e-01	7.1000e-02	3.3500e-01
GRB10	ENST00000398812	9.3945e-01	1.6979e-01	9.2000e-02	3.3500e-01
NCOA3	ENST00000371998	5.4065e-01	2.2058e-01	1.4800e-01	3.3500e-01
PURA	ENST00000331327	9.4029e-01	0.0000e+00	0.0000e+00	3.3500e-01
INCENP	ENST00000394818	8.8595e-01	1.9265e-01	1.1500e-01	3.3600e-01
TNR	ENST00000367674	5.2437e-01	2.2111e-01	1.4900e-01	3.3600e-01
ARHGAP25	ENST00000409202	9.4635e-01	1.5989e-01	8.3000e-02	3.3600e-01
PPP1CC	ENST00000340766	9.5777e-01	1.0686e-01	4.3000e-02	3.3600e-01
RBFOX1	ENST00000311745	9.5263e-01	1.4699e-01	7.1000e-02	3.3600e-01
XYLT1	ENST00000261381	9.2418e-01	1.7902e-01	1.0100e-01	3.3600e-01
TMEM178B	ENST00000565468	9.5458e-01	7.0903e-02	2.4000e-02	3.3600e-01
KIAA2026	ENST00000399933	6.5923e-01	2.1523e-01	1.4100e-01	3.3600e-01
PSD	ENST00000020673	9.0358e-01	1.8688e-01	1.0900e-01	3.3700e-01
KLHL3	ENST00000309755	9.4479e-01	1.6030e-01	8.3000e-02	3.3700e-01
SPTY2D1	ENST00000336349	9.4476e-01	1.6031e-01	8.3000e-02	3.3700e-01
C1orf226	ENST00000426197	9.3900e-01	0.0000e+00	0.0000e+00	3.3700e-01
ANGPT1	ENST00000517746	9.5208e-01	1.4716e-01	7.1000e-02	3.3700e-01
ATG4B	ENST00000404914	9.5648e-01	1.3020e-01	5.8000e-02	3.3700e-01
SLITRK1	ENST00000377084	9.5737e-01	1.0701e-01	4.3000e-02	3.3700e-01
CACNA2D3	ENST00000474759	5.7778e-01	2.1888e-01	1.4500e-01	3.3700e-01
SART1	ENST00000312397	8.8163e-01	1.9312e-01	1.1500e-01	3.3700e-01
RBMX2	ENST00000305536	9.3892e-01	0.0000e+00	0.0000e+00	3.3700e-01
ANKS1A	ENST00000360359	8.0916e-01	2.0402e-01	1.2700e-01	3.3800e-01
KCNMB4	ENST00000258111	9.3853e-01	0.0000e+00	0.0000e+00	3.3800e-01
PSMC3	ENST00000298852	9.5470e-01	1.3084e-01	5.9000e-02	3.3800e-01
CDH6	ENST00000265071	9.1966e-01	1.7979e-01	1.0100e-01	3.3800e-01
FBLN1	ENST00000327858	9.1878e-01	1.7994e-01	1.0100e-01	3.3800e-01
GFPT1	ENST00000357308	8.9953e-01	1.8741e-01	1.0900e-01	3.3800e-01
STX12	ENST00000373943	9.5624e-01	1.0743e-01	4.3000e-02	3.3800e-01
DLG2	ENST00000376104	7.0796e-01	2.1228e-01	1.3700e-01	3.3800e-01
TMEM39A	ENST00000319172	9.5467e-01	1.3085e-01	5.9000e-02	3.3800e-01
SIX2	ENST00000303077	9.3869e-01	0.0000e+00	0.0000e+00	3.3800e-01
NUTF2	ENST00000219169	9.3864e-01	0.0000e+00	0.0000e+00	3.3800e-01
RNF126	ENST00000292363	9.5379e-01	7.1144e-02	2.4000e-02	3.3800e-01
DDHD1	ENST00000323669	9.0200e-01	1.8709e-01	1.0900e-01	3.3800e-01
SORCS1	ENST00000344440	5.5937e-01	2.1953e-01	1.4600e-01	3.3800e-01
TIPRL	ENST00000367833	9.5372e-01	7.1167e-02	2.4000e-02	3.3800e-01
FN1	ENST00000354785	1.4045e-03	2.5390e-01	1.9200e-01	3.3800e-01
PCGF3	ENST00000362003	9.5326e-01	7.1307e-02	2.4000e-02	3.3800e-01
PLCH1	ENST00000340059	3.9649e-01	2.2551e-01	1.5300e-01	3.3800e-01
PTPRU	ENST00000345512	3.9251e-01	2.2564e-01	1.5300e-01	3.3800e-01
FGF10	ENST00000264664	9.3779e-01	0.0000e+00	0.0000e+00	3.3900e-01
IFNGR2	ENST00000290219	9.5281e-01	7.1445e-02	2.4000e-02	3.3900e-01
RUSC1	ENST00000368352	9.4130e-01	1.6120e-01	8.3000e-02	3.3900e-01
ZNF318	ENST00000361428	3.7383e-01	2.2627e-01	1.5400e-01	3.3900e-01
SOX13	ENST00000367204	9.4185e-01	1.6106e-01	8.3000e-02	3.3900e-01
ZBTB37	ENST00000367701	9.5517e-01	1.0782e-01	4.3000e-02	3.3900e-01
BICC1	ENST00000373886	8.3685e-01	1.9994e-01	1.2200e-01	3.3900e-01
CNTFR	ENST00000378980	9.5549e-01	1.0771e-01	4.3000e-02	3.3900e-01
ZMYND19	ENST00000298585	9.5174e-01	7.1767e-02	2.5000e-02	3.4000e-01
LDB2	ENST00000304523	9.5460e-01	1.0803e-01	4.3000e-02	3.4000e-01
DDA1	ENST00000359866	9.3718e-01	0.0000e+00	0.0000e+00	3.4000e-01
LZTS1	ENST00000381569	9.5491e-01	1.0792e-01	4.3000e-02	3.4000e-01
PHOX2B	ENST00000226382	9.3755e-01	0.0000e+00	0.0000e+00	3.4000e-01
SLITRK3	ENST00000475390	9.3906e-01	1.6176e-01	8.4000e-02	3.4000e-01
BNC2	ENST00000380672	9.2762e-01	1.7228e-01	9.3000e-02	3.4000e-01
GPR64	ENST00000379869	9.2694e-01	1.7241e-01	9.3000e-02	3.4000e-01
HPRT1	ENST00000298556	9.3728e-01	0.0000e+00	0.0000e+00	3.4000e-01
RAB6A	ENST00000310653	9.5237e-01	7.1577e-02	2.4000e-02	3.4000e-01
MAP3K5	ENST00000359015	5.1964e-01	2.2091e-01	1.4700e-01	3.4000e-01
SLC4A7	ENST00000295736	7.3616e-01	2.0977e-01	1.3300e-01	3.4000e-01
GABRB3	ENST00000311550	9.5138e-01	1.3198e-01	5.9000e-02	3.4100e-01
JAK2	ENST00000381652	6.5372e-01	2.1462e-01	1.3900e-01	3.4100e-01
ELK1	ENST00000247161	9.3711e-01	0.0000e+00	0.0000e+00	3.4100e-01
SLC35F1	ENST00000360388	9.5133e-01	1.3200e-01	5.9000e-02	3.4100e-01
LCP2	ENST00000046794	9.2466e-01	1.7285e-01	9.4000e-02	3.4100e-01
CSTF1	ENST00000217109	9.5401e-01	1.0824e-01	4.3000e-02	3.4100e-01
KIF1C	ENST00000320785	7.1767e-01	2.1068e-01	1.3400e-01	3.4100e-01
RALGDS	ENST00000372050	8.8814e-01	1.8883e-01	1.1000e-01	3.4100e-01
LRP5	ENST00000294304	5.0992e-01	2.2125e-01	1.4700e-01	3.4100e-01
POU5F1	ENST00000259915	9.5371e-01	1.0835e-01	4.3000e-02	3.4100e-01
SIK1	ENST00000270162	9.3716e-01	1.6222e-01	8.4000e-02	3.4100e-01
XYLT2	ENST00000017003	9.2576e-01	1.7264e-01	9.4000e-02	3.4100e-01
AC006486.9	ENST00000594664	9.3701e-01	0.0000e+00	0.0000e+00	3.4100e-01
HOMER3	ENST00000539827	9.5363e-01	1.0838e-01	4.3000e-02	3.4100e-01
BCL2L1	ENST00000307677	9.3667e-01	0.0000e+00	0.0000e+00	3.4100e-01
DOCK1	ENST00000280333	6.8117e-03	2.4978e-01	1.8500e-01	3.4100e-01
GAB3	ENST00000424127	9.5360e-01	1.0839e-01	4.3000e-02	3.4100e-01
EIF2S2	ENST00000374980	9.5327e-01	1.0850e-01	4.3000e-02	3.4200e-01
SYT14	ENST00000422431	9.4463e-01	1.4940e-01	7.3000e-02	3.4200e-01
ARHGEF1	ENST00000337665	7.6754e-01	2.0658e-01	1.2900e-01	3.4200e-01
ZC3H14	ENST00000251038	8.8291e-01	1.8945e-01	1.1000e-01	3.4200e-01
EBP	ENST00000495186	9.3645e-01	0.0000e+00	0.0000e+00	3.4200e-01
FEZF1	ENST00000442488	9.5043e-01	7.2156e-02	2.5000e-02	3.4200e-01
HSD17B10	ENST00000168216	9.3604e-01	0.0000e+00	0.0000e+00	3.4200e-01
AP3B2	ENST00000261722	7.7198e-01	2.0632e-01	1.2900e-01	3.4200e-01
CLPX	ENST00000300107	9.2377e-01	1.7302e-01	9.4000e-02	3.4200e-01
CDC14B	ENST00000375241	9.4308e-01	1.4984e-01	7.3000e-02	3.4300e-01
EPB41L1	ENST00000338074	8.7683e-01	1.9014e-01	1.1100e-01	3.4300e-01
RPS10-NUDT3	ENST00000605528	9.5186e-01	1.0900e-01	4.4000e-02	3.4300e-01
MOV10	ENST00000413052	8.0908e-01	2.0200e-01	1.2400e-01	3.4300e-01
HMBS	ENST00000278715	9.4884e-01	1.3282e-01	5.9000e-02	3.4300e-01
HORMAD1	ENST00000361824	9.4885e-01	1.3281e-01	5.9000e-02	3.4300e-01
POU2F1	ENST00000367866	9.0229e-01	1.8248e-01	1.0300e-01	3.4300e-01
PRPS2	ENST00000398491	9.3544e-01	0.0000e+00	0.0000e+00	3.4300e-01
RAP1GDS1	ENST00000339360	9.3288e-01	1.6322e-01	8.4000e-02	3.4300e-01
PMEPA1	ENST00000341744	9.3577e-01	0.0000e+00	0.0000e+00	3.4300e-01
RUNX2	ENST00000371438	9.4884e-01	1.3282e-01	5.9000e-02	3.4300e-01
ALKBH5	ENST00000399138	9.4974e-01	7.2360e-02	2.5000e-02	3.4300e-01
PFDN6	ENST00000395131	9.3592e-01	0.0000e+00	0.0000e+00	3.4300e-01
SNX1	ENST00000261889	9.3179e-01	1.6346e-01	8.4000e-02	3.4400e-01
ASIC1	ENST00000228468	9.3017e-01	1.6382e-01	8.5000e-02	3.4400e-01
COPZ1	ENST00000262061	9.4896e-01	7.2587e-02	2.5000e-02	3.4400e-01
MTUS2	ENST00000431530	7.9549e-01	2.0294e-01	1.2400e-01	3.4400e-01
IRF8	ENST00000268638	9.4807e-01	1.3307e-01	6.0000e-02	3.4400e-01
PCDHAC2	ENST00000289269	9.3114e-01	1.6361e-01	8.5000e-02	3.4400e-01
POLR2B	ENST00000381227	5.2372e-01	2.2035e-01	1.4500e-01	3.4400e-01
CADPS2	ENST00000449022	3.6785e-01	2.2646e-01	1.5200e-01	3.4400e-01
LYPLA2	ENST00000374514	9.4955e-01	7.2416e-02	2.5000e-02	3.4400e-01
LRRC1	ENST00000370888	9.3181e-01	1.6346e-01	8.4000e-02	3.4400e-01
MAP3K13	ENST00000265026	8.0051e-01	2.0260e-01	1.2400e-01	3.4400e-01
OXR1	ENST00000442977	8.4148e-01	1.9694e-01	1.1800e-01	3.4400e-01
P4HA1	ENST00000412021	9.3166e-01	1.6349e-01	8.4000e-02	3.4400e-01
NTN4	ENST00000343702	9.1585e-01	1.7447e-01	9.5000e-02	3.4400e-01
AP3B1	ENST00000255194	6.1532e-01	2.1620e-01	1.4000e-01	3.4400e-01
KIF3A	ENST00000378746	8.9775e-01	1.8313e-01	1.0300e-01	3.4400e-01
FNTA	ENST00000302279	9.4721e-01	1.3334e-01	6.0000e-02	3.4500e-01
ITGA5	ENST00000293379	4.2455e-01	2.2429e-01	1.4900e-01	3.4500e-01
PI4KB	ENST00000368875	8.6607e-01	1.9131e-01	1.1100e-01	3.4500e-01
CXXC1	ENST00000412036	8.9506e-01	1.8350e-01	1.0300e-01	3.4500e-01
CD86	ENST00000330540	9.4879e-01	7.2635e-02	2.5000e-02	3.4500e-01
MAF1	ENST00000322428	9.4812e-01	7.2830e-02	2.5000e-02	3.4500e-01
VASP	ENST00000245932	9.4665e-01	1.3352e-01	6.0000e-02	3.4500e-01
HERPUD2	ENST00000396081	9.4702e-01	1.3340e-01	6.0000e-02	3.4500e-01
LARP4	ENST00000398473	8.6884e-01	1.9102e-01	1.1100e-01	3.4500e-01
LCOR	ENST00000371097	9.5022e-01	1.0956e-01	4.4000e-02	3.4500e-01
C6orf136	ENST00000293604	9.4895e-01	1.0999e-01	4.4000e-02	3.4600e-01
CCNT2	ENST00000264157	9.2681e-01	1.6455e-01	8.5000e-02	3.4600e-01
ATG2A	ENST00000377264	5.3526e-02	2.4209e-01	1.7200e-01	3.4600e-01
USP49	ENST00000373006	9.3828e-01	1.5114e-01	7.3000e-02	3.4600e-01
NUPL1	ENST00000381736	9.2697e-01	1.6452e-01	8.5000e-02	3.4600e-01
ASUN	ENST00000261191	8.6229e-01	1.9171e-01	1.1200e-01	3.4600e-01
ATP8A1	ENST00000381668	1.9990e-01	2.3313e-01	1.6000e-01	3.4600e-01
RNF214	ENST00000531452	9.0960e-01	1.7554e-01	9.5000e-02	3.4600e-01
EIF3I	ENST00000373586	9.4930e-01	1.0987e-01	4.4000e-02	3.4600e-01
SGMS1	ENST00000361781	9.4507e-01	1.3401e-01	6.0000e-02	3.4600e-01
TECPR2	ENST00000359520	5.8003e-01	2.1763e-01	1.4100e-01	3.4600e-01
VPS4A	ENST00000254950	9.4474e-01	1.3411e-01	6.0000e-02	3.4700e-01
DHX36	ENST00000496811	4.7221e-01	2.2228e-01	1.4600e-01	3.4700e-01
DROSHA	ENST00000511367	9.3176e-02	2.3908e-01	1.6700e-01	3.4700e-01
PER2	ENST00000254657	7.1480e-01	2.0948e-01	1.3100e-01	3.4700e-01
NEO1	ENST00000339362	2.4398e-01	2.3134e-01	1.5700e-01	3.4700e-01
AFF1	ENST00000395146	7.1038e-01	2.0971e-01	1.3100e-01	3.4700e-01
BZW1	ENST00000452790	9.4418e-01	1.3428e-01	6.0000e-02	3.4700e-01
ETV1	ENST00000430479	9.3694e-01	1.5149e-01	7.4000e-02	3.4700e-01
THBS2	ENST00000366787	5.5641e-01	2.1857e-01	1.4100e-01	3.4700e-01
BECN1	ENST00000361523	9.3717e-01	1.5144e-01	7.4000e-02	3.4700e-01
BEND3	ENST00000429433	9.3555e-01	1.5185e-01	7.4000e-02	3.4700e-01
LRRC8A	ENST00000259324	9.4398e-01	1.3434e-01	6.0000e-02	3.4700e-01
MEGF10	ENST00000274473	3.9040e-01	2.2557e-01	1.5000e-01	3.4700e-01
RNF144A	ENST00000320892	9.4776e-01	1.1038e-01	4.4000e-02	3.4700e-01
STAT4	ENST00000392320	7.6620e-01	2.0484e-01	1.2500e-01	3.4700e-01
TRAM2	ENST00000182527	9.4418e-01	1.3428e-01	6.0000e-02	3.4700e-01
STK38L	ENST00000389032	9.3427e-01	1.5218e-01	7.4000e-02	3.4800e-01
EXOC3	ENST00000512944	9.2216e-01	1.6552e-01	8.6000e-02	3.4800e-01
SLK	ENST00000369755	3.7441e-01	2.2618e-01	1.5000e-01	3.4800e-01
DCAF7	ENST00000415273	9.3284e-01	0.0000e+00	0.0000e+00	3.4800e-01
EHBP1	ENST00000263991	3.0745e-01	2.2880e-01	1.5400e-01	3.4800e-01
USP14	ENST00000261601	9.0546e-01	1.7622e-01	9.5000e-02	3.4800e-01
LHX5	ENST00000261731	9.4591e-01	7.3460e-02	2.5000e-02	3.4800e-01
RDX	ENST00000405097	8.5245e-01	1.9270e-01	1.1200e-01	3.4800e-01
PDE2A	ENST00000334456	6.3100e-01	2.1468e-01	1.3700e-01	3.4800e-01
E2F3	ENST00000346618	9.4580e-01	1.1102e-01	4.4000e-02	3.4900e-01
FOXN1	ENST00000226247	9.4214e-01	1.3490e-01	6.0000e-02	3.4900e-01
SGTA	ENST00000221566	9.4632e-01	1.1085e-01	4.4000e-02	3.4900e-01
ZNF503	ENST00000372524	9.4589e-01	7.3465e-02	2.5000e-02	3.4900e-01
RASSF8	ENST00000405154	9.4158e-01	1.3506e-01	6.1000e-02	3.4900e-01
CD22	ENST00000085219	8.0440e-01	1.9993e-01	1.2000e-01	3.4900e-01
FLT3	ENST00000241453	6.0777e-01	2.1570e-01	1.3700e-01	3.4900e-01
UGCG	ENST00000374279	9.4147e-01	1.3510e-01	6.1000e-02	3.4900e-01
ZNF146	ENST00000456324	9.3205e-01	0.0000e+00	0.0000e+00	3.4900e-01
FRMD4B	ENST00000398540	4.5390e-01	2.2298e-01	1.4600e-01	3.4900e-01
UBR1	ENST00000290650	5.4862e-03	2.5305e-01	1.8600e-01	3.4900e-01
YBX1	ENST00000321358	9.4646e-01	1.1081e-01	4.4000e-02	3.4900e-01
SLC25A5	ENST00000317881	9.3194e-01	0.0000e+00	0.0000e+00	3.4900e-01
RPS4X	ENST00000316084	9.3222e-01	0.0000e+00	0.0000e+00	3.4900e-01
NUP214	ENST00000359428	5.4748e-02	2.4269e-01	1.7100e-01	3.4900e-01
HNRNPLL	ENST00000409636	9.1907e-01	1.6615e-01	8.6000e-02	3.4900e-01
SLC4A1	ENST00000262418	8.4602e-01	1.9333e-01	1.1200e-01	3.4900e-01
RAP1GAP	ENST00000290101	8.4376e-01	1.9354e-01	1.1300e-01	3.4900e-01
MAP4	ENST00000360240	8.4782e-01	1.9315e-01	1.1200e-01	3.4900e-01
EFNB1	ENST00000204961	9.3251e-01	0.0000e+00	0.0000e+00	3.4900e-01
EGFR	ENST00000275493	3.6837e-01	2.2642e-01	1.5000e-01	3.4900e-01
RASGEF1B	ENST00000264400	9.2073e-01	1.6581e-01	8.6000e-02	3.4900e-01
EMD	ENST00000369842	9.3178e-01	0.0000e+00	0.0000e+00	3.5000e-01
RHOT1	ENST00000358365	7.9851e-01	2.0037e-01	1.2000e-01	3.5000e-01
KIDINS220	ENST00000256707	7.3562e-02	2.4107e-01	1.6900e-01	3.5000e-01
EN1	ENST00000295206	9.3135e-01	0.0000e+00	0.0000e+00	3.5000e-01
MMP16	ENST00000286614	9.1797e-01	1.6636e-01	8.6000e-02	3.5000e-01
CBX5	ENST00000209875	9.3174e-01	0.0000e+00	0.0000e+00	3.5000e-01
APPL1	ENST00000288266	7.9520e-01	2.0062e-01	1.2000e-01	3.5000e-01
LEO1	ENST00000299601	8.7094e-01	1.8656e-01	1.0500e-01	3.5000e-01
S100PBP	ENST00000373475	9.4509e-01	1.1125e-01	4.4000e-02	3.5000e-01
ARID5A	ENST00000357485	9.4518e-01	1.1122e-01	4.4000e-02	3.5000e-01
MRGBP	ENST00000370487	9.3142e-01	0.0000e+00	0.0000e+00	3.5000e-01
LHFPL3	ENST00000535008	9.3153e-01	0.0000e+00	0.0000e+00	3.5000e-01
NR3C2	ENST00000358102	8.3739e-01	1.9414e-01	1.1300e-01	3.5000e-01
SLC38A1	ENST00000398637	9.3067e-01	1.5307e-01	7.4000e-02	3.5000e-01
HOXA3	ENST00000396352	9.4450e-01	7.3854e-02	2.5000e-02	3.5000e-01
GTPBP1	ENST00000216044	9.3001e-01	1.5323e-01	7.4000e-02	3.5100e-01
RAB11FIP2	ENST00000355624	9.4451e-01	1.1143e-01	4.5000e-02	3.5100e-01
SREK1	ENST00000334121	9.1480e-01	1.6698e-01	8.6000e-02	3.5100e-01
MDGA2	ENST00000439988	6.6457e-01	2.1202e-01	1.3200e-01	3.5100e-01
DNAJB14	ENST00000442697	9.3874e-01	1.3589e-01	6.1000e-02	3.5100e-01
AGTPBP1	ENST00000376083	4.2151e-01	2.2423e-01	1.4700e-01	3.5100e-01
MAZ	ENST00000219782	9.4363e-01	7.4095e-02	2.5000e-02	3.5100e-01
SDK2	ENST00000392650	4.1393e-03	2.5486e-01	1.8700e-01	3.5100e-01
MRC1	ENST00000239761	9.4335e-01	1.1179e-01	4.5000e-02	3.5200e-01
PCDH10	ENST00000264360	8.9066e-01	1.7849e-01	9.7000e-02	3.5200e-01
SHROOM3	ENST00000296043	3.1709e-01	2.2852e-01	1.5200e-01	3.5200e-01
BMI1	ENST00000376663	9.4286e-01	1.1195e-01	4.5000e-02	3.5200e-01
KANSL1L	ENST00000281772	6.5684e-01	2.1240e-01	1.3300e-01	3.5200e-01
SYAP1	ENST00000380155	9.4312e-01	7.4234e-02	2.5000e-02	3.5200e-01
ASNA1	ENST00000591090	9.4316e-01	7.4224e-02	2.5000e-02	3.5200e-01
STRN3	ENST00000357479	8.2925e-01	1.9488e-01	1.1300e-01	3.5200e-01
KLHDC10	ENST00000335420	9.2564e-01	1.5426e-01	7.5000e-02	3.5300e-01
MYB	ENST00000341911	8.1924e-01	1.9576e-01	1.1400e-01	3.5300e-01
INPP4B	ENST00000513000	5.5218e-01	2.1809e-01	1.3900e-01	3.5300e-01
TBC1D30	ENST00000539867	8.8919e-01	1.7870e-01	9.7000e-02	3.5300e-01
TRAF4	ENST00000262395	9.3602e-01	1.3666e-01	6.1000e-02	3.5300e-01
UBFD1	ENST00000395878	9.4238e-01	7.4439e-02	2.5000e-02	3.5300e-01
HSP90AA1	ENST00000334701	8.6025e-01	1.8779e-01	1.0600e-01	3.5300e-01
ARAP1	ENST00000393609	1.2294e-01	2.3789e-01	1.6300e-01	3.5300e-01
